Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
-51;-48.79307744;-50.52383724
-86;-83.87980504;-85.60093853
-54;-52.39875146;-54.11881269
-6;-6.63772138;-6.49463527
-2;-1.81712394;-1.989952124
0;0.252856539;-0.029482125
-3;-3.076756744;-2.891391364
0;0.100891064;0.325534662
-1;-1.378672937;-0.986405279
2;1.535927948;1.722462443
10;9.338726002;9.595577689
3;2.741169568;3.16487081
6;6.26001715;5.968326421
2;1.586169512;1.753423088
4;4.113193298;4.192018674
0;-0.041259418;0.430017343
-1;-1.448657014;-1.12337615
1;0.144613009;0.50054772
1;1.125007859;1.442451151
4;4.809432881;4.177165059
4;4.356303752;4.456959811
3;2.480105072;2.761351436
2;1.249219673;1.687939233
-1;-1.020252174;-1.154930772
1;-0.504633364;1.020817491
6;6.046479569;5.726796699
6;5.483337901;6.325190858
4;3.159706182;3.750996718
5;4.218448384;4.795585832
2;0.43815536;2.225581698
6;6.294017088;5.985199335
10;9.398961848;10.04248419
2;3.457209836;2.334694562
4;3.549726058;3.517758883
4;3.067374101;3.699673317
4;3.619484534;4.089655152
2;2.14301926;1.821392216
4;4.406159105;4.253767509
2;1.845220496;1.574262836
-2;-2.563058506;-2.228258788
-3;-2.545393673;-2.828593299
1;0.557837905;1.187062926
1;-1.30850172;0.566117659
7;6.15238176;7.362328369
6;5.607109413;6.234847783
36;34.69712859;36.03182501
23;21.56340526;22.65905428
-11;-10.23875455;-11.39650646
-59;-57.32121676;-59.05514175
-68;-67.155223;-68.36373236
-29;-29.01346006;-29.46908165
-19;-18.64890144;-18.57120451
3;2.739360782;3.251599045
0;-0.114402282;0.159140509
9;8.867335026;9.28919858
1;0.438386424;0.717334713
8;7.404353345;8.38296218
15;14.22208162;15.16916148
15;13.77932976;14.55026608
52;50.02454354;51.78907013
10;6.891820559;10.30559822
15;16.18213452;15.44033319
18;18.97348135;17.67394611
11;9.738112625;11.41560033
15;14.14856636;15.34138067
13;14.28063223;13.27414348
7;5.162722328;6.878176113
4;4.341446677;4.237591225
5;4.632826029;4.983396671
5;5.026536307;5.125893453
3;3.363016964;2.504266827
5;4.296394876;4.819946045
10;8.740480738;10.14792302
33;32.22564676;33.39450599
57;52.76066791;56.50779396
17;15.62401315;16.80891337
12;10.86844016;11.61952256
4;2.915961475;3.871856055
2;1.177913624;1.726708192
5;3.732294201;4.942578893
6;5.620908639;5.619124565
6;6.110161023;6.269928684
10;9.78167603;9.752777426
6;5.530983406;6.153323666
5;4.552381571;5.007748189
7;5.927467636;6.808216343
5;4.125497996;4.766350553
-14;-13.73799332;-14.19769085
-19;-18.93651442;-19.25330997
5;4.73016835;5.461760283
4;4.13103885;4.424558087
2;2.314926178;2.12270583
4;3.507133907;3.619845852
